Year,Prison population total,Prison population rate
1992,41654,200
1994,52958,250
1996,50944,237
1998,56080,256
2000,56676,254
2002,56444,251
2004,56786,250
2006,63226,276
2008,63203,274
2010,65311,282
2012,66106,283
2014,63452,271
2016,62398,265
2018,62634,265
