Year,Prison population total,Prison population rate
1992,300,91
1995,150,42
1999,134,33
2002,120,28
2004,275,60
2006,283,59
2008,173,34
2010,268,51
2012,291,53
2014,282,49
2016,435,73
2017,477,78
