Year,Prison population total,Prison population rate
1950,521,18
1955,396,14
1960,461,16
1965,561,195
1970,749,25
1975,1017,32
1980,1215,36
1985,1863,53
1990,2108,60
1995,2121,59
2000,2948,77
2002,3165,81
2004,3199,79
2006,3191,75
2008,3544,80
2010,4290,94
2012,4318,94
2014,3915,84
2016,3718,78
2018,3816,78
