Year,Prison population total,Prison population rate
1975,39164,55
1980,24583,30
1993,41618,36
1995,42768,36
1998,51499,40
2000,62669,47
2002,68178,49
2004,73154,51
2006,71114,49
2008,86838,59
2010,69650,46
2012,68700,44
2014,65662,42
2016,73177,45
2018,88424,53
