Year,Prison population total,Prison population rate
1996,107,125
1998,114,132
2000,130,150
2002,144,162
2004,170,189
2006,174,190
2008,181,191
2010,177,183
2012,157,159
2014,140,140
2016,140,135
2018,130,122
