Year,Prison population total,Prison population rate
1998,1401,485
2000,1400,470
2002,1280,412
2004,1400,435
2006,1500,446
2008,1400,402
2010,1322,367
2012,1600,429
2014,1396,363
2016,1746,438
2017,1746,438
