Year,Prison population total,Prison population rate
1985,1741,95
1990,1570,83
1995,1156,59
2000,1178,59
2002,1336,66
2004,1618,80
2006,2026,99
2008,2235,109
2010,2516,122
2012,2543,123
2014,3116,151
2016,3346,162
2018,2931,141
