Year,Prison population total,Prison population rate
1995,1617,21
1998,3766,45
2000,4219,49
2002,3600,41
2004,1941,21
2006,4663,49
2008,8204,83
2010,5331,53
2012,8722,84
2014,10461,98
2016,10538,97
2017,10512,96
