Year,Prison population total,Prison population rate
1995,49,76
1998,34,52
2001,48,72
2002,55,82
2004,61,84
2006,30,37
2008,60,71
2010,61,78
2012,41,53
2014,53,69
2016,47,60
2018,52,69
