Year,Prison population total,Prison population rate
1990,8842,203
1992,9707,218
1994,13775,304
1997,18854,401
2000,20000,402
2002,19500,390
2004,16934,338
2006,15758,311
2008,11408,221
2010,9923,183
2012,9828,176
2014,9729,166
2016,10030,167
2018,10574,171
