Year,Prison population total,Prison population rate
1950,128,41
1955,89,28
1960,56,18
1965,43,14
1970,34,11
1975,66,21
1980,104,32
1985,89,26
1999,230,61
2002,277,70
2004,277,69
2006,343,85
2008,444,108
2010,583,141
2012,622,148
2014,616,143
2016,556,127
2017,588,133
