Year,Prison population total,Prison population rate
1973,1057,147
1975,1134,153
1978,1101,142
1981,935,120
1990,1588,219
1995,1531,210
1998,1698,232
2001,1507,205
2002,1275,173
2004,1280,172
2006,1861,248
2008,2117,281
2010,2160,286
2012,2032,268
2014,1967,257
2016,2113,274
2018,2200,283
