Year,Prison population total,Prison population rate
1982,41034,53
1985,53786,64
1990,54079,57
1993,41482,40
1996,52000,47
2000,44450,36
2002,40048,31
2004,38999,29
2006,40953,29
2008,41143,27
2010,46586,29
2012,51560,31
2014,56785,32
2016,63142,34
2018,73631,37
