Year,Prison population total,Prison population rate
1972,3705,57
1981,5709,68
1986,6791,74
1990,7679,76
1995,9646,85
2000,8029,64
2002,8723,67
2004,11358,84
2006,12635,90
2008,12067,83
2010,11800,79
2012,21080,135
2014,25902,162
2016,26421,160
2018,37497,222
