Year,Prison population total,Prison population rate
1972,2703,23
1974,4037,34
1982,14403,98
1986,21944,133
1990,22832,124
1995,24831,118
2000,27358,116
2002,28804,118
2004,43424,171
2006,42389,161
2008,39440,145
2010,38387,137
2012,36608,126
2014,47986,160
2016,55490,180
2017,55413,177
