Year,Prison population total,Prison population rate
1972,4258,138
1974,4503,141
1986,7924,190
1990,8622,189
1995,7909,146
2000,9421,158
2002,10922,174
2004,13605,208
2006,20628,302
2008,21894,305
2010,20164,270
2012,20195,263
2014,20780,264
2017,19325,236
