Year,Prison population total,Prison population rate
1990,3000,92
1995,3177,97
1998,2922,87
2001,3053,99
2003,3778,121
2005,4356,139
2007,4554,144
2009,4667,146
2011,4779,167
2013,5201,179
2015,5934,205
2017,5418,189
2018,5407,188
