Year,Prison population total,Prison population rate
1993,2515,88
1995,3312,110
1998,4543,147
2000,4917,154
2002,6405,186
2004,5990,159
2006,6101,150
2008,4686,112
2010,5060,117
2012,5060,109
2014,6012,120
2016,6200,122
