Year,Prison population total,Prison population rate
1950,395,133
1960,209,66
1970,215,63
1975,129,36
1980,248,68
1985,268,73
1990,352,92
1995,469,114
2000,394,90
2002,380,85
2004,602,131
2006,756,160
2008,674,137
2010,690,136
2012,660,124
2014,656,118
2016,705,121
2018,650,107
