Year,Prison population total,Prison population rate
1996,35737,122
1998,36905,121
2000,33992,108
2003,39806,122
2004,44231,134
2006,54117,159
2008,55598,158
2010,58000,161
2012,55000,147
2015,62150,155
2017,60000,146
