Year,Prison population total,Prison population rate
1995,1653,16
1998,2039,18
2000,2204,19
2002,2530,20
2004,2799,21
2006,3108,22
2008,4801,32
2010,5198,33
2012,5035,30
2014,6827,38
2016,7670,41
