Year,Prison population total,Prison population rate
1993,6085,268
1996,6070,262
1999,6414,269
2001,6656,275
2002,7256,297
2004,6400,256
2006,6593,258
2008,7570,288
2010,7044,260
2012,8417,300
2014,8015,275
2016,4506,150
2017,3099,102
