Year,Prison population total,Prison population rate
1972,6473,166
1981,3402,73
1985,4525,92
1990,5892,112
1995,7013,125
2000,7754,132
2002,10907,183
2004,12073,201
2006,14771,243
2008,19814,324
2010,24662,399
2012,27033,433
2014,28334,450
2016,36824,579
