Year,Prison population total,Prison population rate
1973,4055,153
1988,2952,75
1990,3091,74
1992,3215,74
1995,3715,79
1998,3566,70
2000,3531,65
2002,3302,58
2005,4056,67
2008,4574,70
2010,4268,61
2012,3467,48
2014,4480,61
2016,4945,63
