Year,Prison population total,Prison population rate
1970,257,42
1975,52,8
1983,188,35
1985,180,33
1990,218,37
1995,202,31
2000,312,45
2002,345,48
2004,546,73
2006,599,77
2008,831,105
2010,900,108
2012,930,108
2014,681,80
2016,710,83
