Year,Prison population total,Prison population rate
1993,59833,74
1996,64680,79
1998,69917,85
2000,70252,85
2002,70977,86
2004,79452,96
2006,76629,93
2008,72259,88
2010,69385,85
2012,65889,82
2014,61872,76
2016,62865,76
