Year,Prison population total,Prison population rate
1972,544,7
1994,1981,19
1996,2826,25
1998,3233,28
2000,5502,45
2002,6128,48
2004,6778,52
2006,10338,76
2008,11688,83
2010,14043,97
2012,15397,103
2014,15182,98
2016,21989,137
2017,28414,176
