Year,Prison population total,Prison population rate
1980,1901,1234
1985,1767,960
1990,872,404
1995,1171,478
2000,2166,793
2002,1889,667
2004,1110,384
2006,1489,491
2008,993,316
2010,830,255
2012,994,294
2014,1200,341
2016,1880,514
