Year,Prison population total,Prison population rate
1980,3764,82
1985,3380,73
1990,1518,32
1995,2388,50
2000,2027,45
2002,2584,58
2004,2803,63
2006,3485,78
2008,4290,97
2010,4891,110
2012,5064,118
2014,4352,103
2018,3190,78
