Year,Prison population total,Prison population rate
1972,19924,162
1992,28914,116
1996,41064,145
2000,40010,129
2002,35157,108
2004,52000,150
2006,47036,129
2008,46150,119
2010,49757,122
2012,52000,121
2014,54579,122
2016,50900,108
