Year,Prison population total,Prison population rate
1981,46,249
1984,74,366
1989,165,660
1995,178,546
2000,227,565
2002,231,544
2004,188,425
2006,210,404
2008,203,363
2010,212,382
2012,185,330
2014,186,326
2016,218,357
2018,253,393
