Year,Prison population total,Prison population rate
1993,35864,53
1999,70383,92
2000,79299,102
2002,67968,83
2004,83501,99
2006,91200,104
2008,94961,105
2010,95390,103
2012,106323,111
2014,120076,121
2016,142168,140
2018,188278,179
