Year,Prison population total,Prison population rate
1987,4076,91
1992,5717,109
1995,8933,158
2000,11500,184
2002,11502,176
2004,10931,160
2006,11178,159
2008,11390,154
2010,11846,154
2012,12095,152
2014,16331,196
2016,17253,200
