Year,Prison population total,Prison population rate
1970,56511,161
1975,37616,95
1980,70172,156
1985,71230,140
1990,45606,81
1995,46091,74
2000,49512,73
2002,59429,85
2004,57930,81
2006,70277,101
2008,103235,144
2010,120814,164
2012,136020,180
2014,158837,204
2016,200339,251
2018,232886,288
