Year,Prison population total,Prison population rate
1950,36754,88
1955,20086,46
1960,26795,59
1965,31245,64
1970,29026,57
1975,26032,49
1980,35655,66
1985,42937,78
1990,43913,78
1995,51623,89
2000,48049,82
2002,45319,76
2004,55355,91
2006,55633,91
2008,59468,96
2011,62467,99
2014,72796,114
2016,71190,110
