Year,Prison population total,Prison population rate
1950,30610,109
1955,19659,67
1960,15202,50
1965,10622,33
1970,13890,41
1975,8440,24
1980,18253,48
1985,22396,58
1990,33035,85
1995,45198,115
2000,45309,113
2002,50537,122
2004,58655,137
2006,63248,142
2008,70465,153
2010,76701,165
2012,70695,151
2014,66857,144
2016,61526,133
2018,59087,126
