Year,Prison population total,Prison population rate
1980,48755,130
1985,52050,129
1990,53169,124
1995,60166,135
2000,62959,136
2002,61084,131
2004,57184,121
2006,46721,98
2008,46684,96
2010,47471,97
2012,45488,92
2014,50128,100
2016,56495,112
2017,55198,109
