Year,Prison population total,Prison population rate
1995,379,258
1998,629,411
2000,684,440
2002,542,344
2004,393,249
2006,495,311
2008,559,352
2010,559,352
2012,585,366
2014,754,467
2016,752,460
2017,667,404
