Year,Prison population total,Prison population rate
1950,2655,51
1954,4071,71
1975,10080,93
1993,19079,98
1998,21970,98
2000,21700,92
2002,21900,87
2005,26126,93
2008,28337,90
2010,30312,91
2012,34940,97
2014,42193,111
2016,48689,120
2017,54059,129
