Year,Prison population total,Prison population rate
1966,5292,575
1970,3602,381
1975,2709,268
1982,841,75
1986,1232,104
1990,2907,238
1995,4019,319
2000,4633,365
2002,4315,337
2004,3924,304
2006,3514,268
2008,3732,283
2010,3766,283
2012,3800,284
2014,3481,258
2015,3667,270
