Year,Prison population total,Prison population rate
1990,20743,180
1992,18370,150
1994,21658,167
1997,19743,137
1999,20109,131
2001,19962,121
2002,18370,110
2004,19971,112
2006,17495,92
2008,16555,82
2010,18647,89
2012,18507,83
2014,20353,86
2016,22000,88
2017,20954,82
