Year,Prison population total,Prison population rate
1950,16012,117
1955,18048,115
1960,20628,115
1965,24179,123
1970,22329,104
1975,20009,86
1980,23560,96
1982,27406,109
1986,30906,118
1990,33527,121
1995,38548,131
2000,35533,115
2001,35533,115
2003,35868,114
2005,34365,107
2007,37452,115
2009,39051,117
2011,39916,117
2013,41026,118
2015,40663,114
