Year,Prison population total,Prison population rate
1982,30,53
1985,37,64
1990,42,69
1995,45,73
2000,59,94
2002,75,119
2004,93,146
2006,117,183
2008,87,134
2010,75,114
2012,117,178
2014,97,149
2016,92,140
2018,109,165
