Year,Prison population total,Prison population rate
1990,698900,473
1992,722636,487
1995,920685,622
1998,1009863,688
2000,1060404,729
2002,980151,675
2004,847004,588
2006,823403,577
2008,883436,622
2010,864197,609
2012,755651,528
2014,677287,471
2016,646085,448
2018,582889,402
