Year,Prison population total,Prison population rate
1975,46541,36
1990,41319,23
1993,41121,22
1996,41353,21
1998,48898,24
2000,53399,26
2002,67960,31
2004,87185,39
2006,116688,51
2008,137144,59
2010,117863,49
2012,150688,60
2014,163414,64
2016,202623,77
