Year,Prison population total,Prison population rate
1980,12341,492
1985,16924,659
1990,8726,327
1995,9633,385
2000,8815,370
2002,8531,368
2004,8231,361
2006,6965,313
2008,6548,299
2010,7055,333
2012,6561,321
2014,5139,252
2016,4409,224
2018,3765,195
