Year,Prison population total,Prison population rate
1986,36210,85
1988,34832,77
1990,26526,55
1999,55209,85
2000,55209,85
2002,62059,91
2004,74413,103
2006,72211,96
2008,85664,109
2010,112361,136
2012,111040,129
2013,113727,127
