Year,Prison population total,Prison population rate
1971,5544,64
1975,2532,28
1980,5454,56
1985,8231,82
1990,9051,92
1995,12343,123
2000,12944,126
2002,13918,133
2004,13152,125
2006,12636,120
2008,10807,102
2010,11613,110
2012,13614,130
2014,14003,135
2016,13775,134
2018,13065,127
