Year,Prison population total,Prison population rate
1981,4367,61
1985,3926,50
1989,6051,71
1995,5814,58
2000,6974,62
2002,8077,69
2004,8698,70
2006,7477,57
2008,8158,60
2010,11148,78
2012,15013,100
2014,18425,115
2016,21031,125
2018,24386,141
