Year,Prison population total,Prison population rate
1996,7525,118
2001,9013,130
2002,8647,121
2004,7526,98
2006,7332,89
2008,9114,104
2010,9481,100
2012,10422,103
2014,8646,79
2016,10049,86
2017,10093,84
