Year,Prison population total,Prison population rate
1950,95353,113
1955,82587,92
1960,72103,76
1965,63233,64
1970,47754,45
1975,45994,41
1980,50706,43
1985,55974,46
1990,46858,38
1995,47398,38
2000,61242,48
2002,69502,55
2004,76413,60
2006,81255,64
2008,76881,60
2010,72975,57
2012,67008,53
2014,60486,48
2016,55967,44
2018,51805,41
