Year,Prison population total,Prison population rate
1980,13833,156
1985,14990,167
1990,11030,123
1995,8529,101
2000,10147,124
2002,8994,114
2004,10066,129
2006,11436,148
2008,10271,134
2010,9896,131
2012,9885,135
