Year,Prison population total,Prison population rate
1950,35434,76
1955,35572,74
1960,35642,71
1965,36158,69
1970,21391,40
1975,30726,55
1980,31765,56
1985,41536,73
1990,26150,46
1995,46908,83
2000,53165,93
2002,55670,97
2004,56068,96
2006,39005,66
2008,58127,97
2010,67961,112
2012,65701,110
2014,53623,88
2016,54653,90
2018,59135,98
