Year,Prison population total,Prison population rate
1970,816,54
1975,2528,166
1980,2581,169
1985,2043,130
1990,1785,112
1995,1762,107
2000,1068,64
2002,1026,60
2004,1274,75
2006,1433,82
2008,1490,84
2010,1465,81
2012,1774,97
2014,1830,99
2016,1507,81
2018,1435,76
