Year,Prison population total,Prison population rate
1953,5609,54
1958,5000,45
1963,3947,33
1968,3786,30
1973,3152,24
1980,3873,27
1985,4888,34
1990,6662,45
1995,11886,77
2000,13847,87
2002,16239,100
2004,20075,123
2006,20463,125
2008,16416,100
2010,15235,92
2012,13749,82
2014,11603,69
2016,10115,59
