Year,Prison population total,Prison population rate
1990,1251481,107
1992,1276517,106
1994,1285948,105
1996,1417277,114
1998,1440000,114
2000,1427407,111
2002,1512194,119
2004,1583006,119
2006,1710641,118
2008,1735822,121
2010,1656773,121
2012,1657963,120
2014,1657812,119
2015,1649804,118
