Year,Prison population total,Prison population rate
1950,4338,53
1955,5787,63
1960,7446,72
1965,8243,72
1970,10208,82
1975,8683,63
1980,9752,66
1985,10844,69
1990,14305,84
1995,17428,97
2000,21714,114
2002,22492,115
2004,24171,121
2006,25790,126
2008,27615,130
2010,29700,135
2012,29383,130
2014,33791,144
2016,38845,160
