Year,Prison population total,Prison population rate
1980,11091,326
1985,14642,415
1990,8586,232
1995,12782,351
2000,14412,410
2002,11566,335
2004,8063,237
2006,8137,247
2008,7866,245
2010,8655,275
2012,9920,330
2014,9261,315
2016,7355,254
