Year,Prison population total,Prison population rate
1980,200,62
1985,300,88
1990,400,112
1994,482,132
1998,547,144
2001,608,156
2003,643,163
2005,631,159
2007,763,192
2009,920,233
2011,885,225
2013,918,236
2015,940,244
2017,870,226
