Year,Prison population total,Prison population rate
1992,2711,176
1994,2965,182
1996,3442,199
1998,4381,239
2000,4883,254
2001,4727,244
2004,4442,218
2007,4064,188
2010,4251,191
2013,4010,171
2015,3560,145
2016,7400,295
