Year,Prison population total,Prison population rate
1980,12217,244
1985,12231,236
1990,4591,87
1995,7899,147
2000,6941,129
2002,7758,144
2004,9422,175
2006,8249,153
2008,8166,151
2010,10031,186
2012,10850,201
2014,10020,185
2016,9913,183
2018,10415,191
