Year,Prison population total,Prison population rate
1993,68453,58
1996,72700,56
2000,78938,56
2002,90000,60
2004,88659,57
2006,86500,54
2009,81409,48
2011,78100,44
2012,74944,39
2014,79700,43
2016,84315,44
2018,83718,43
