Year,Prison population total,Prison population rate
1981,247,99
1984,367,145
1989,462,179
1993,628,240
1998,1076,405
2000,1411,527
2003,992,366
2005,997,365
2007,1010,365
2008,1046,376
2010,910,324
2012,1045,368
2014,884,309
