Year,Prison population total,Prison population rate
1994,6200,30
1998,7000,31
2000,6000,25
2002,7132,29
2004,6393,25
2006,5580,22
2008,8401,32
2010,10739,40
2012,14936,54
2014,16813,59
2016,17966,62
2017,18881,65
